,Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For (GF),Goals Againts (GA),+/-
359,New Jersey Devils,2013,43,25,2.0,0.524,213,164,49
360,New York Islanders,2013,38,29,4.0,0.463,237,210,27
361,New York Rangers,2013,27,40,8.0,0.329,206,250,-44
362,Ottawa Senators,2013,43,23,6.0,0.524,262,189,73
363,Philadelphia Flyers,2013,40,21,6.0,0.488,229,186,43
364,Phoenix Coyotes,2013,22,36,6.0,0.268,188,245,-57
365,Pittsburgh Penguins,2013,23,47,4.0,0.28,190,303,-113
366,San Jose Sharks,2013,43,21,6.0,0.524,219,183,36
367,St. Louis Blues,2013,39,30,2.0,0.476,191,198,-7
368,Tampa Bay Lightning,2013,46,22,6.0,0.561,245,192,53
369,Toronto Maple Leafs,2013,45,24,3.0,0.549,242,204,38
370,Vancouver Canucks,2013,43,24,5.0,0.524,235,194,41
371,Washington Capitals,2013,23,46,3.0,0.28,186,253,-67
372,Mighty Ducks of Anaheim,2015,43,27,12.0,0.524,254,229,25
373,Atlanta Thrashers,2015,41,33,8.0,0.5,281,275,6
374,Boston Bruins,2015,29,37,16.0,0.354,230,266,-36
375,Buffalo Sabres,2015,52,24,6.0,0.634,281,239,42
376,Calgary Flames,2015,46,25,11.0,0.561,218,200,18
377,Carolina Hurricanes,2015,52,22,8.0,0.634,294,260,34
378,Columbus Blue Jackets,2015,35,43,4.0,0.427,223,279,-56
379,Chicago Blackhawks,2015,26,43,13.0,0.317,211,285,-74
380,Colorado Avalanche,2015,43,30,9.0,0.524,283,257,26
381,Dallas Stars,2015,53,23,6.0,0.646,265,218,47
382,Detroit Red Wings,2015,58,16,8.0,0.707,305,209,96
383,Edmonton Oilers,2015,41,28,13.0,0.5,256,251,5
384,Florida Panthers,2015,37,34,11.0,0.451,240,257,-17
385,Los Angeles Kings,2015,42,35,5.0,0.512,249,270,-21
386,Minnesota Wild,2015,38,36,8.0,0.463,231,215,16
387,Montreal Canadiens,2015,42,31,9.0,0.512,243,247,-4
388,Nashville Predators,2015,49,25,8.0,0.598,259,227,32
389,New Jersey Devils,2015,46,27,9.0,0.561,242,229,13
390,New York Islanders,2015,36,40,6.0,0.439,230,278,-48
391,New York Rangers,2015,44,26,12.0,0.537,257,215,42
392,Ottawa Senators,2015,52,21,9.0,0.634,314,211,103
393,Philadelphia Flyers,2015,45,26,11.0,0.549,267,259,8
394,Phoenix Coyotes,2015,38,39,5.0,0.463,246,271,-25
395,Pittsburgh Penguins,2015,22,46,14.0,0.268,244,316,-72
396,San Jose Sharks,2015,44,27,11.0,0.537,266,242,24
397,St. Louis Blues,2015,21,46,15.0,0.256,197,292,-95
398,Tampa Bay Lightning,2015,43,33,6.0,0.524,252,260,-8
399,Toronto Maple Leafs,2015,41,33,8.0,0.5,257,270,-13
400,Vancouver Canucks,2015,42,32,8.0,0.512,256,255,1
401,Washington Capitals,2015,29,41,12.0,0.354,237,306,-69
402,Anaheim Ducks,2016,48,20,14.0,0.585,258,208,50
403,Atlanta Thrashers,2016,43,28,11.0,0.524,246,245,1
404,Boston Bruins,2016,35,41,6.0,0.427,219,289,-70
405,Buffalo Sabres,2016,53,22,7.0,0.646,308,242,66
406,Calgary Flames,2016,43,29,10.0,0.524,258,226,32
407,Carolina Hurricanes,2016,40,34,8.0,0.488,241,253,-12
408,Columbus Blue Jackets,2016,33,42,7.0,0.402,201,249,-48
409,Chicago Blackhawks,2016,31,42,9.0,0.378,201,258,-57
410,Colorado Avalanche,2016,44,31,7.0,0.537,272,251,21
411,Dallas Stars,2016,50,25,7.0,0.61,226,197,29
412,Detroit Red Wings,2016,50,19,13.0,0.61,254,199,55
413,Edmonton Oilers,2016,32,43,7.0,0.39,195,248,-53
414,Florida Panthers,2016,35,31,16.0,0.427,247,257,-10
415,Los Angeles Kings,2016,27,41,14.0,0.329,227,283,-56
416,Minnesota Wild,2016,48,26,8.0,0.585,235,191,44
417,Montreal Canadiens,2016,42,34,6.0,0.512,245,256,-11
418,Nashville Predators,2016,51,23,8.0,0.622,272,212,60
419,New Jersey Devils,2016,49,24,9.0,0.598,216,201,15
420,New York Islanders,2016,40,30,12.0,0.488,248,240,8
421,New York Rangers,2016,42,30,10.0,0.512,242,216,26
422,Ottawa Senators,2016,48,25,9.0,0.585,288,222,66
423,Philadelphia Flyers,2016,22,48,12.0,0.268,214,303,-89
424,Phoenix Coyotes,2016,31,46,5.0,0.378,216,284,-68
425,Pittsburgh Penguins,2016,47,24,11.0,0.573,277,246,31
426,San Jose Sharks,2016,51,26,5.0,0.622,258,199,59
427,St. Louis Blues,2016,34,35,13.0,0.415,214,254,-40
428,Tampa Bay Lightning,2016,44,33,5.0,0.537,253,261,-8
429,Toronto Maple Leafs,2016,40,31,11.0,0.488,258,269,-11
